Orig Query,New Query,Ngrams Found,Ours Found,NGrams Match Rank,Ours Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
zemianske lieskove,zemiansek lieskove,1,1,1,2,194,18,6.1617458279846,13.0434782608696
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 187 file 6,slovak archives jewish census 1942 townships and communities slovaka rchives reel 3  box 187 file 6,1,1,1,1,249,26,1.59781761496493,9.67741935483871
maly slavkov,malys lavkov,1,1,1,1,109,9,5.08474576271187,20.0
dolne zemberovce,dolne zemberovec,1,1,8,3,110,4,2.1978021978022,25.0
uhorske,uohrske,1,1,2,1,41,18,6.5359477124183,20.0
parnica,parniac,1,1,24,24,33,33,2.30769230769231,2.30769230769231
ceklis,celkis,0,1,-,2,38,40,0.0,6.25
dolne bzince,odlne bzince,1,1,1,1,43,43,13.4453781512605,13.4453781512605
danova,daonva,0,1,-,4,1,60,NaN,3.33333333333333
ivanka pri dunaji,ivakna pri dunaji,1,1,1,1,111,3,14.9051490514905,80.0
semetkovce,semetokvce,1,1,1,1,139,35,3.2520325203252,8.51063829787234
sucany,suacny,0,1,-,1,1,188,NaN,2.47933884297521
,,=SUM(C2:C13),=SUM(D2:D13),=AVERAGE(E2:E13),=AVERAGE(F2:F13),=AVERAGE(G2:G13),=AVERAGE(H2:H13),=AVERAGE(I2:I13),=AVERAGE(J2:J13)
