Orig Query,New Query,Found,Match Rank,Rank,Probability
staskov,sskov,1,1,83,2.8328611898017
farkasovce,frkasvce,1,1,123,2.75229357798165
nova ves,ovaves,1,7,126,2.0253164556962
medzibrodie nad oravou,medzibodie na oravou,1,9,135,1.95530726256983
budkovce,udkove,1,1,88,4.36046511627907
bohunice,bhnice,1,3,89,2.9940119760479
hricovske pohradie,hricovsk pohadie,1,1,87,10.2564102564103
lietnice,letnie,1,1,27,8.88888888888889
male ostratice,male statice,1,1,173,4.14507772020725
lednica,ldnca,0,-,4,0.0
slovak archives jewish census 1942 townships and communities slovak archives reel 2  box 184 file 2,slovak archives jewish census 1942 townships and communities slovak archvesreel 2  box 184 file 2,1,1,213,1.65631469979296
sucha hora,ucha ora,1,1,39,10.5263157894737
slavosovce,slvsovce,0,-,144,0.308641975308642
vradiste,vadite,1,16,18,1.61290322580645
dolna krupa,dlnakrupa,1,1,13,37.037037037037
sintava,ntava,1,24,35,2.56410256410256
kiripolec,kripole,1,1,30,16.6666666666667
markusovce,markuove,1,1,42,9.20245398773006
maly slavkov,ml slavkov,1,1,122,5.19480519480519
kolenany,koenay,1,4,7,17.3913043478261
petrovce,etrovc,1,1,141,2.86225402504472
tvrdosin,vrdosn,1,1,6,40.5405405405405
strocin,stocn,0,-,23,0.0
ustredna zidov,ustrenazidov,1,2,64,3.96039603960396
krasok,krsk,0,-,10,0.0
brakov,bkov,1,35,67,1.63934426229508
turany,turn,1,2,12,15.625
rapiste,rapis,1,1,15,18.75
vapenik,vapek,1,1,3,88.8888888888889
hamborek,hmbork,1,1,18,11.9402985074627
tubrina,tubia,1,2,12,15.625
baranc,ranc,1,1,15,15.0943396226415
gribov,ribv,1,3,5,28.5714285714286
olesna,oesa,0,-,6,0.0
gajdos,gajo,1,1,3,80.0
hotkovce,hotove,1,14,65,1.86046511627907
stredne plachtince,strede plachtnce,1,1,87,8.83002207505519
kostolne moravce,kostone morvce,1,15,177,1.06100795755968
neverice,eerice,1,1,64,6.69642857142857
zamarovce,zamrvce,1,1,123,1.88235294117647
niklasov,nklaso,1,2,29,10.0840336134454
nestich,nstih,1,4,13,10.0
dolny kamenec,dolny kmnec,1,1,71,6.70391061452514
velke zaluzice,elke zaluice,1,10,111,1.67014613778706
velky kolacin,elkykolacin,1,1,77,8.94568690095847
slovak archives jewish census 1942 townships and communities slovak archives reel 2  box 184 file 1,slovak archives jwish census 942 townships and communities slovak archives reel 2  box 184 file 1,1,1,217,1.65253315938247
dubovica,duovic,1,4,18,10.126582278481
pukanec,uknec,1,10,14,2.56410256410256
uhorna,uona,0,-,1,NaN
chtelnica,htlnica,0,-,72,0.925925925925926
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 186 file 1,slovak archies  jewish census 1942 townships and communities	sloak archives reel 2  box 186 file 1,1,1,212,1.69525731584258
dolne srnie,oln srnie,1,1,53,8.62068965517241
biksard,bksrd,0,-,1,NaN
velky saris,lky saris,1,1,53,10.8695652173913
bucany,buca,1,1,6,33.3333333333333
revucka,reuck,1,1,4,57.1428571428571
hostovce,hstovc,0,-,151,0.538599640933573
slovenska lupca,slovnsa lupca,1,11,123,1.71149144254279
nitrianske rudno,nitriaskerudno,1,1,109,13.1147540983607
liestany,listay,1,25,41,2.89855072463768
lubenik,ubeni,1,8,14,7.31707317073171
zemanska ludrova,zemanska ludrv,1,1,90,7.69230769230769
dovalovo,dvaovo,1,12,14,2.12765957446809
domadice,domace,1,17,24,2.40963855421687
kostolany nad hor.,kostlany nad ho.,1,1,174,4.79511769834351
castkovce,castkoc,1,1,22,15.6862745098039
hrabovcik,haovcik,1,1,118,3.48027842227378
namestovo,nastovo,1,6,61,2.65486725663717
nizny komarnik,iny komarnik,1,1,97,7.87746170678337
laskovce,lakvce,1,37,123,0.941176470588235
lubela,lela,1,9,11,3.33333333333333
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 189 file 3,slovak archives jewish census 142 townshipsand communities slovak archives reel 3  box 189 file 3,1,1,224,1.63511187607573
mnisek nad hnilcom,mnisek nad nlcom,1,34,121,1.68970814132104
petrova ves,etrovaves,1,19,160,0.915750915750916
ruzomberok,rzombrok,1,1,19,10.5263157894737
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 3,sloak archives jewish census 1942 townships and communities slovak archies reel 3  box 188 file 3,1,1,217,1.65255945183394
dolnie mladonice,dolnie ladonic,1,1,117,6.73400673400673
velke ostratice,lke ostratice,1,1,146,6.24113475177305
krajna polana,krajna pola,1,1,79,10.6888361045131
starzky nad popradom,starzky d popradom,1,1,107,10.3321033210332
ratkovo,ratko,1,1,15,18.4615384615385
smolinske,smolise,1,1,20,16.0
dubora,duor,0,-,1,NaN
cierna lehota,iern lehota,1,1,26,14.7368421052632
tolcemes,olemes,1,3,31,7.01754385964912
strecna,strcn,1,26,37,3.03030303030303
tura luka,tur uka,1,12,18,3.7037037037037
kalnica,klnia,1,12,25,4.59770114942529
svaty benedik,svty beneik,1,6,34,4.85436893203883
pusta kert,pustakrt,1,1,35,9.30232558139535
spisska sobota,isska sobota,1,1,79,10.2880658436214
tokajik,tojik,1,1,2,100.0
bosany,bosy,1,1,3,50.0
jastraba,astrab,1,23,54,1.65289256198347
cabalovce,abalovc,1,1,203,2.98953662182362
vydran,vyan,0,-,1,NaN
machalovce,macalove,1,2,122,3.31491712707182
nacina ves,nacinave,1,1,50,9.58083832335329
marsany,arsny,1,4,12,9.75609756097561
diviaky,iviky,1,5,9,13.3333333333333
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 190 file 1,slovak arhives jwish census 1942 townships and communities slovak archives reel 3  box 190 file 1,1,1,220,1.64452877925364
mokra luka,okra uka,1,1,30,14.5454545454545
hoske  ?,hose ?,1,2,5,28.5714285714286
predmier,predmi,1,7,13,8.33333333333333
lubina,luba,1,10,14,2.77777777777778
vojcice,vocie,0,-,11,0.0
malacky,aacky,1,3,6,21.0526315789474
jurgov,jurv,1,3,4,14.2857142857143
velky slivnik,velky slivn,1,1,98,6.71641791044776
stare hory,sarehory,0,-,60,1.31004366812227
vrutky,ruky,0,-,3,0.0
lednicke rovne,lednicerovne,1,17,127,1.38888888888889
velka hradna,velka hrdn,1,1,93,5.25164113785558
bela nad cir,bla nd cir,1,1,83,8.84955752212389
slovak archives -  jewish census 1942 townships and communities reel 4  box 190 file 3 continued,slvak archives -  jewish census 1942 townships and communities reel4  box 190 file 3 continued,1,1,160,1.97628458498024
castkov,casov,1,32,46,1.86915887850467
cinobana,cinoaa,1,12,17,3.50877192982456
ortutov,rtutv,1,1,2,100.0
stara lehota,stralehota,1,4,56,5.07936507936508
zbudsky rokytov,zbudsk rokyov,1,1,23,26.1682242990654
plavecky stvrtok,plaveckytvrtok,1,1,57,19.0839694656489
dolne zemberovce,dolnezemerovce,0,-,189,0.674536256323777
cierny balog,ciry balog,1,8,31,4.0
nizny colgory ???,nizny clgory???,1,1,48,11.2852664576803
dohnany,dhany,0,-,81,0.3584229390681
janovce,janoe,1,1,22,10.0
slovak archives  - jewish census 1942 townships and communities reel 1 box 182 corrected,slovak archives - jewish census 1942 townships and comunities reel 1 box 182 corrected,1,1,210,1.8034265103697
stara bystrica,tara bystrca,1,14,65,2.07253886010363
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 2,slovak archives jewish cnsus 1942 townships and communities slovak archives reel 3  box 88 file 2,1,1,210,1.63757810816634
oscadnica,scadica,1,34,64,1.57894736842105
oslany,olan,1,8,22,4.54545454545455
slavkovce,sakovce,1,21,168,1.0919017288444
smolenice,olenice,1,1,104,5.96658711217184
hornie srnie,hore srnie,1,1,62,7.94701986754967
cierne,ciee,1,1,8,25.0
lieskovec,lieovec,1,1,43,6.282722513089
nemcar,mcar,1,5,6,11.1111111111111
iadomirova,iadmirov,1,1,39,14.8148148148148
cecehov,cehov,1,1,21,14.2857142857143
sanbron,sabrn,0,-,6,0.0
chrtany,hrtay,1,1,2,100.0
strazske,strazs,1,1,42,9.25925925925926
svaty antol,vay antol,1,1,70,4.90196078431373
sliepkovce,siepkovc,1,1,161,2.96296296296296
zatkovce,zatkvc,1,1,4,61.5384615384615
lovinobana,lovinana,1,1,149,5.66037735849057
niznia radvan,nizniaradvn,1,1,71,6.4343163538874
breznica,eznica,1,1,77,4.70588235294118
slovak archives  - jewish census 1942 townships and communities	reel 2  box 183 file 1,slovak archives  - jewish ensus 1942 townships and communities	reel 2  box 183 fil 1,1,1,198,1.74146014735432
trencianske teplice,trecianske teplie,1,11,112,1.92616372391653
potoky,poky,1,4,5,25.0
certizne,crtine,1,11,22,5.88235294117647
lastovce,lastvc,1,1,24,9.63855421686747
spanie pole,spaie pol,1,1,55,8.29875518672199
raztoky,raztk,1,1,9,20.0
slovak archives - jewish census 1942 townships and communities reel 3  box 190 file 3,slova archives - jewish census 1942 townships and communities reel3  box 190 file 3,1,1,213,1.61394448030988
mnisek nad popradom,mnisek ad popraom,1,3,137,2.83505154639175
maly bab,mlybab,1,1,7,22.7272727272727
mlynarovce,mlyaovce,1,1,124,1.44230769230769
topolcany,tolcany,1,12,85,2.0997375328084
visna olsava,visna lava,1,1,94,4.6189376443418
slanec,sanc,0,-,13,0.0
velky sulin,velkyulin,1,1,50,6.64451827242525
zabokreky nad nitrou,zabokrek nadnitrou,1,1,148,9.75609756097561
inacovce,nacoce,1,1,10,21.0526315789474
nemecka poruba,neeca poruba,1,2,37,12.565445026178
hornie otrokovce,horni otrkovce,0,-,202,0.609291698400609
prietrz,priet,1,2,19,13.3333333333333
brunovce,brunov,1,1,54,7.61904761904762
slanica,slana,1,2,37,6.62251655629139
stitnik,itnik,1,1,29,13.1578947368421
lipovec,liove,1,10,29,4.12371134020619
zilina,zina,1,20,33,2.02020202020202
tesary nad zitavou,tsary nad ztavou,1,1,83,6.95322376738306
brdarska,brdara,1,1,9,32.4324324324324
durova,urva,0,-,1,NaN
liesek,iesk,1,9,72,3.52112676056338
klecenov,klecnv,1,1,5,44.4444444444444
semetkovce,emetkove,1,1,96,5.0125313283208
dolne drzkovce,dolnedrzkvce,1,17,151,0.964630225080386
kysucke nove mesto,kysucke novemsto,1,1,141,3.72881355932203
dolne strhary,dolne strar,1,1,90,6.57894736842105
uhorska ves,horskaves,1,24,145,1.11856823266219
rybary,rybr,1,2,4,40.0
racice,racc,1,4,6,7.14285714285714
dobova,dova,1,31,120,1.46520146520147
chotca,chta,0,-,5,0.0
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 6,slovak archives  jewish census 1942 townshis and communities	slovak archives reel 2  box 185file 6,1,1,212,1.6532428995337
kezmarok,kemark,1,3,18,8.21917808219178
porubka,oruka,1,8,11,11.4285714285714
zariecie,ariece,1,15,22,4.16666666666667
sabotiste,sabotie,1,1,71,15.625
