Orig Query,New Query,Found,Match Rank,Rank,Probability
lucivna,nluwcivnefa,0,0,16,0.0
sasa,zvsasya,0,0,44,0.0
certizne,cerqldttizne,1,1,10,18.1818181818182
velke ostratice,qvelke ostlxraoticfe,0,0,1,NaN
stara halic,kastarat haglic,0,0,3,0.0
cierna lehota,ciernaa lemhoryfta,1,1,9,18.1818181818182
slovak archives  jewish census 1942 townships and communities slovak archives reel 2  box 184 file 3,slofvak marchives  jewgish censust 1942d townships and commulnities eslsovak archives reeol 2  buox 184 file g3,1,7,11,10.0
velke zaluzice,vebzlkde zawlyuzice,1,12,25,5.12820512820513
uhorske,uhporqslkfe,1,2,5,33.3333333333333
lopej,kllopeej,0,0,1,NaN
velkrop,vuixelkrozp,1,1,3,50.0
/vrbove,/pmdbvrbove,1,1,2,100.0
sotina,sonwtinba,1,36,41,2.0
prietrz,cpriejuvtrz,0,0,1,NaN
slovak archives  - jewish census 1942 townships and communities reel 1 box 182 corrected,slovak aroczhives  - jewisoh census 1942 townshipse and crommlunitijes reel 1 dbox 182 cnorfrected,1,2,5,33.3333333333333
nova lesna,novxa lyesnbea,1,5,16,5.26315789473684
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 8,hslopvvaka arachives  jewish census 1942 townships and vcommunities	oslovak awrchsives ryepel 2  box 185 file 8,0,0,1,NaN
sanbron,sanplzfbron,1,1,4,50.0
hornie stitany,horngeiew stitancey,1,3,10,9.09090909090909
podturen,poadituqrlen,1,1,6,33.3333333333333
laskovce,laqdoskjovce,1,1,17,9.52380952380952
senne,senrnofe,1,27,35,1.85185185185185
plavetsky svaty mikulas,ugplanavetsky svaty mikulzals,0,0,2,0.0
vislava,jviscblavra,0,0,5,0.0
nedozery,uznmuedozery,1,1,2,100.0
presov,xprevcsov,0,0,1,NaN
markovce,mabartikovce,1,7,27,4.54545454545455
dobova,gtdojbova,0,0,3,0.0
cierne klucany,yciernem kluclyazny,0,0,1,NaN
lesne,icllesne,1,3,5,20.0
smizany,osxmiizanfy,0,0,3,0.0
kruzlova,krunuzlcovza,1,8,21,3.7037037037037
versvar,verdznsvqar,1,2,3,50.0
gronos,gdronohts,1,2,5,22.2222222222222
svaty kriz nad hronom,svaty kriz rnqjadl zhronuom,1,2,5,22.2222222222222
slovak archives - jewish census 1942 townships and communities reel 4  box 191 file 3,slolvak eafrcokfhiaves - jewish coengsus 1942 townships and communities refel 4  box 191 file 3,1,3,11,10.0
stavce,starzvcze,1,44,45,1.42857142857143
uderina,wuderikenna,0,0,1,NaN
velke vozokany,qvelkdmey voztokany,0,0,1,NaN
hrusov,hrosuksov,1,1,7,25.0
kalnica,kuwalnickpa,1,13,21,3.7037037037037
potor,potgosyr,1,2,4,25.0
dolne pribelce,doslne ehpribxuelce,1,2,18,6.89655172413793
basovce,basionvvcse,1,12,20,4.16666666666667
maluzina,mahluezingua,1,12,16,5.26315789473684
slovenske pravno,slqovrenske qprkavano,1,1,3,66.6666666666667
slovenska reslavica,savlovenska cresloiavica,1,2,41,4.0
hlinik nad hr.,hlviiniepk nad hnr.,1,1,2,100.0
sklabina,oskljavwbina,0,0,7,0.0
chrtany,chrpavtacny,1,3,7,25.0
senohrad,esbehnoahrad,0,0,1,NaN
ladce,layedcve,1,14,17,4.54545454545455
skalica,aseekalhica,0,0,1,NaN
dobsina,dozbgsinqxa,1,1,17,10.5263157894737
mnesice,smnfbzesice,0,0,35,0.0
priekopa,ptrfdiekoxpa,1,3,16,9.52380952380952
turie pole,thurceie polle,1,4,7,14.2857142857143
male levare,macleo rlmevare,1,7,25,6.25
cinobana,ciinobotvana,1,1,9,25.0
hoske  ?,nhosiukge  ?,0,0,2,0.0
hajtovka,hiajtoolvvka,1,6,19,5.0
malachov,malauycphcov,1,4,8,15.3846153846154
zlatno,zmvvlatno,1,1,2,100.0
zvolen,hzgvolaen,0,0,3,0.0
hutka,htucmtka,1,15,19,3.7037037037037
domadice,cedomadicpne,0,0,10,0.0
marikova,ymaruikotvda,0,0,1,NaN
mataska,maftjaaskka,1,5,16,9.52380952380952
myjava,wmpyhjava,0,0,1,NaN
podhradie,pqodhrabrdiye,1,9,18,4.76190476190476
hradisko,ahrxaldirsko,0,0,1,NaN
beckov,hbeckbjov,0,0,7,0.0
rapiste,rapisqwutde,1,2,9,20.0
porubka,polrubkdkla,1,7,16,4.54545454545455
vysnia pisana,vysfnia pisahnqxja,1,12,30,3.03030303030303
moravsky svaty jan,moraowvszky svvaty ojan,1,1,6,36.3636363636364
skalite,cskzkalitse,0,0,10,0.0
kelca,keilcjoa,1,9,21,5.55555555555556
ustredna zidov,upsrtretrdnau zidov,1,1,3,66.6666666666667
krasok,kkwraqsok,1,2,5,18.1818181818182
chrast nad hornadom,cthrast nad lhornadotrlm,1,2,3,50.0
jews in custody in bratislava in sept 1942,jewjs hin cquxstody inb bratislava in spept l1942,1,1,2,100.0
jedlove kostolany,jendlove tkostonclangy,1,1,4,33.3333333333333
hriadky,xhhriadonky,0,0,1,NaN
svaty ondrej nad hronom,smvaty onzdgrejj inad hroxnom,1,4,5,20.0
gajary,gayejarly,1,2,3,33.3333333333333
starzky nad popradom,starzztky nad poipryadnom,1,1,5,33.3333333333333
slovak archives  jewish census 1942 townships and communities	slovak archives reel 2  box 185 file 9,slovakq archives  jezwish census 1942 townshricps ayndr communities	slovadk arcphives rxeel 2 v box 185 file s9,1,2,3,50.0
kosarovce,kosaroxpdvyce,1,1,19,16.6666666666667
tvrdosin,tvridosicrxn,1,1,4,33.3333333333333
kostolany nad hor.,lhkonstvolany nad hopr.,0,0,1,NaN
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 189 file 3,slovak tarchives jewish census f1942 townsjhiipmsx and communpitieso slcovak archives reel 3 b bohx 189 file 3,1,1,11,10.0
slovak archives jewish census 1942 townships and communities slovak archives reel 3  box 188 file 2,slovak archives jewish census 1942 toowntfcshixps andg coxmmunities slovuak ajrclhives redel 3  box 188 file 2,1,5,11,10.0
kysucke nove mesto,kyseucke nrqove xmgesto,1,1,4,57.1428571428571
dlha nad oravou,odlha napd coruavosu,0,0,1,NaN
podolinec,ptriiodolinec,1,1,4,50.0
kapisov,kaxpixesotv,1,1,11,18.1818181818182
pudmerice,pludmerniokce,1,13,18,4.54545454545455
trakovice,traksobvicare,1,1,7,28.5714285714286
vojcice,kvojcincahe,0,0,19,0.0
vlasky,fvllausky,0,0,1,NaN
suche,fsupcmhe,0,0,4,0.0
vysnie revistia,vkysnyie regvxisutia,1,1,30,6.06060606060606
mokra luka,gmokreaxo luka,0,0,3,0.0
visnie zbojne,kuivisknie zbojnge,0,0,19,0.0
komarov,kodzimaxrov,1,4,11,14.2857142857143
