Orig Query,New Query,Three-grams Found,Ours Found,Four-grams Found,DM Soundex Found,NGrams Match Rank,Ours Match Rank,Four-grams Match Rank,DM Soundex Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
tura luka,duraluka,1,1,1,0,7,7,3,-,28,28,6,0,5.17241379310345,5.17241379310345
myto pod dumbierom,my tapa dumbirum,1,1,1,0,1,4,1,-,9,5,2,0,19.047619047619,25.0
brezno nad hronom,resnonadhornim,0,0,0,0,-,-,-,-,106,106,23,0,0.366300366300366,0.366300366300366
handlova,hand lava,1,1,1,0,21,2,5,-,54,19,11,0,1.76991150442478,14.2857142857143
varin,verin,1,1,0,1,10,10,-,1,14,14,3,1,3.57142857142857,3.57142857142857
secovce,zickovs,0,0,0,0,-,-,-,-,93,44,5,0,0.0,0.0
plavnica,plavnica,1,1,1,1,1,1,2,1,89,44,36,1,6.97674418604651,15.1898734177215
dezerice,diserus,0,1,0,0,-,43,-,-,25,60,1,0,0.0,1.35135135135135
bogdanovce,badanavs,1,1,0,0,6,6,-,-,29,29,3,0,4.6875,4.6875
parnica,pernica,1,1,1,1,23,8,8,1,87,106,32,1,1.40845070422535,1.78571428571429
zakopcie,zechovsei,0,0,0,0,-,-,-,-,34,34,9,0,0.0,0.0
udavske,youdavskies,1,1,1,0,1,1,1,-,35,35,7,0,12.5,12.5
lubenik,lubenic,1,1,1,0,5,5,2,-,61,61,11,0,3.10077519379845,3.10077519379845
solosnica,solovsnika,1,1,1,0,1,1,1,-,91,91,3,0,4.41176470588235,4.41176470588235
maly lipnik,malilipnik,1,1,1,0,1,1,1,-,67,3,4,0,10.0671140939597,72.7272727272727
banka,bangka,1,1,0,1,7,7,-,1,11,11,1,1,5.88235294117647,5.88235294117647
nemce,numvse,0,1,0,0,-,1,-,-,1,57,1,0,NaN,4.8780487804878
svaty kriz nad hronom,svadisomeothershit,1,1,0,0,49,49,-,-,51,51,9,0,1.0,1.0
snina,svnana,0,1,0,0,-,6,-,-,16,140,1,0,0.0,1.69491525423729
batovce,badovs,0,0,0,0,-,-,-,-,32,85,1,0,0.0,0.87719298245614
medzilaborce,metsalavores,0,0,0,0,-,-,-,-,53,3,4,0,0.0,0.0
modry kamen,mod ri keymen,1,1,0,0,1,1,-,-,24,6,1,1,12.0,50.0
boleraz,boloraz,1,1,0,1,1,1,-,1,32,32,1,1,9.52380952380952,9.52380952380952
prasice,prosice,1,1,1,1,1,1,1,1,59,85,9,1,4.58015267175572,5.67375886524823
dovalovo,dovalavo,1,1,1,1,29,1,1,1,102,3,8,1,1.44927536231884,66.6666666666667
kozarovce,coseroce,0,0,0,0,-,-,-,-,11,10,1,0,0.0,0.0
modranka,moldranka,1,1,1,0,3,2,1,-,34,16,8,0,5.12820512820513,14.8148148148148
selce,cells,0,0,0,0,-,-,-,-,2,1116,1,0,0.0,0.0714796283059328
piarg,piarg,1,1,1,1,1,1,1,1,5,5,2,1,60.0,60.0
okruhle,okay rula,0,0,0,0,-,-,-,-,16,7,3,0,0.0,0.0
priekopa,praicolpa,0,1,0,0,-,2,-,-,14,16,1,0,0.0,15.0
svaty ondrej nad hronom,svadia ,1,1,0,1,30,30,-,2,46,46,1,2,1.23456790123457,1.23456790123457
lom nad hronom,lumnadraloham,1,1,0,0,12,1,-,-,81,2,4,0,1.875,100.0
pohorela,lrehela,1,1,0,0,12,12,-,-,14,14,1,0,3.84615384615385,3.84615384615385
sered,ciered,1,1,1,0,10,10,2,-,20,20,7,0,4.76190476190476,4.76190476190476
dolny kubin,donikubin,1,1,1,0,10,1,1,-,47,5,7,0,2.94117647058824,53.3333333333333
havaj,phavage,1,1,1,0,16,16,1,-,29,29,3,0,3.92156862745098,3.92156862745098
nadas,notis,0,1,0,1,-,6,-,1,9,1116,2,1,0.0,0.282885431400283
horne obdiekovce,hornadikavs,1,1,1,0,5,5,9,-,114,114,23,0,2.13523131672598,2.13523131672598
gnazda,nasta,0,0,0,0,-,-,-,-,36,1116,3,0,0.0,0.0698812019566736
sielnica,szihilnika,1,1,0,0,32,32,-,-,36,41,3,0,1.28205128205128,2.0
mnisek nad popradom,nazicksomething,0,0,0,0,-,-,-,-,20,2,2,0,0.0,0.0
horne byhymcine,horbehimsign,1,1,0,0,3,3,-,-,34,34,1,0,4.83870967741935,4.83870967741935
busevce,bimzivs,0,0,0,0,-,-,-,-,1,85,1,0,NaN,0.87719298245614
gocovo,gokivo,0,1,0,0,-,2,-,-,3,22,1,0,0.0,10.7142857142857
malacky,melake,0,1,0,0,-,33,-,-,15,78,2,0,0.0,1.52671755725191
rakova,rakiva,1,1,0,1,14,4,-,1,17,52,1,1,3.33333333333333,4.81927710843374
ruzomberok,rusombirak,1,1,0,1,30,1,-,1,31,5,7,1,1.40845070422535,33.3333333333333
