Orig Query,New Query,Three-grams Found,Ours Found,Four-grams Found,DM Soundex Found,NGrams Match Rank,Ours Match Rank,Four-grams Match Rank,DM Soundex Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
tura luka,Deraluka,1,1,1,0,14,14,4,-,24,24,7,0,4.08163265306122,4.08163265306122
myto pod dumbierom,Mytipodiberum,1,1,0,0,12,4,-,-,28,5,1,0,4.44444444444444,25.0
brezno nad hronom,resnonaturhorin,0,0,0,0,-,-,-,-,68,2,1,0,0.0,0.0
handlova,handliva,1,1,1,1,3,2,2,1,26,19,3,1,5.88235294117647,14.2857142857143
varin,veran,0,0,0,1,-,-,-,1,21,1116,1,1,0.0,0.138121546961326
secovce,sickhavs,0,0,0,0,-,-,-,-,24,4,3,0,0.0,0.0
plavnica,plavlika,1,1,1,0,1,2,1,-,29,19,6,0,8.82352941176471,15.7894736842105
dezerice,disaris,0,1,0,0,-,45,-,-,28,62,6,0,0.0,1.2987012987013
bogdanovce,baghdinoffs,0,0,0,0,-,-,-,-,7,4,1,0,0.0,0.0
parnica,pernika,1,1,0,0,41,25,-,-,43,81,7,0,1.04166666666667,1.52671755725191
zakopcie,zacopvce,0,1,0,0,-,12,-,-,123,16,1,1,0.0,5.71428571428571
udavske,udabskees,1,1,0,0,1,1,-,-,33,33,2,0,8.45070422535211,8.45070422535211
bijacovce,vitokovs,0,0,0,0,-,-,-,-,92,4,4,0,0.0,0.0
lubenik,lu benick,1,1,1,0,37,2,11,-,60,6,17,0,1.43884892086331,25.0
solosnica,saliznivka,0,1,0,0,-,5,-,-,43,41,9,0,0.0,4.0
maly lipnik,mayelipnik,1,1,1,0,1,1,1,-,39,3,3,0,13.6363636363636,72.7272727272727
banka,bankha,1,1,1,1,9,9,1,1,19,19,2,1,5.71428571428571,5.71428571428571
nemce,nemse,1,1,0,0,2,2,-,-,10,10,2,0,14.2857142857143,14.2857142857143
svaty kriz nad hronom,svedekrapnivin,0,0,0,0,-,-,-,-,34,5,3,0,0.0,0.0
snina,snahna,0,1,0,1,-,1,-,1,10,136,1,1,0.0,2.6431718061674
batovce,badops,0,0,0,0,-,-,-,-,13,85,1,0,0.0,0.87719298245614
medzilaborce,medzlaborse,1,1,1,0,1,1,1,-,32,32,12,0,14.5631067961165,14.5631067961165
modry kamen,mad rockhamin,0,1,0,0,-,1,-,-,65,6,1,1,0.0,30.0
boleraz,bowlerez,1,1,0,0,2,1,-,-,15,3,1,0,10.0,66.6666666666667
prasice,precise,0,1,0,0,-,4,-,-,14,81,1,0,0.0,2.85714285714286
dovalovo,dovalavo,1,1,1,1,29,1,1,1,102,3,8,1,1.44927536231884,66.6666666666667
kozarovce,kozliovse,1,1,0,0,12,17,-,-,20,19,2,0,2.56410256410256,3.44827586206897
modranka,modranka,1,1,1,1,2,2,3,1,32,21,10,1,7.5,13.6363636363636
selce,celse,0,0,0,0,-,-,-,-,2,1116,1,0,0.0,0.07097232079489
piarg,paiyarg,1,1,0,0,1,1,-,-,3,3,1,0,60.0,60.0
okruhle,okarula,0,1,0,1,-,16,-,1,13,20,1,1,0.0,3.7037037037037
priekopa,prehicopa,1,1,0,0,5,1,-,-,14,16,1,0,11.1111111111111,16.0
svaty ondrej nad hronom,svadirangeorgnaturin,1,1,0,0,55,55,-,-,64,64,4,0,0.813008130081301,0.813008130081301
lom nad hronom,lam natur horonom,1,1,1,1,1,1,2,1,102,2,15,1,5.76923076923077,100.0
pohorela,blahirila,0,0,0,0,-,-,-,-,8,18,1,0,0.0,0.0
sered,zcirud,0,0,0,0,-,-,-,-,7,44,1,0,0.0,0.0
dolny kubin,donikruben,0,1,0,0,-,1,-,-,43,4,3,0,0.0,40.0
havaj,havach,1,1,1,0,22,22,1,-,43,43,4,0,2.5,2.5
nadas,naduse,1,1,0,1,4,1,-,1,58,57,1,1,2.58620689655172,4.65116279069767
horne obdiekovce,hornadikovce,1,1,1,0,1,1,1,-,259,31,136,0,1.75029171528588,8.0
gnazda,nasta,0,0,0,0,-,-,-,-,36,1116,3,0,0.0,0.0698812019566736
sielnica,saheilnika,1,1,0,0,32,32,-,-,36,41,3,0,1.28205128205128,2.0
mnisek nad popradom,nazinagdiperdum,0,0,0,0,-,-,-,-,39,3,7,0,0.0,0.0
horne byhymcine,horm bin en sin,1,1,0,1,2,2,-,1,53,53,1,2,3.0,3.0
busevce,binsevs,1,1,0,0,9,9,-,-,12,12,1,0,4.76190476190476,4.76190476190476
gocovo,kolkivo,0,0,0,0,-,-,-,-,11,95,1,0,0.0,0.0
malacky,melakie,0,1,0,0,-,14,-,-,15,77,2,0,0.0,1.52671755725191
hajniky,pagaeniky,1,1,1,0,1,1,1,-,34,34,6,0,7.59493670886076,7.59493670886076
rakova,rackiva,0,1,0,0,-,3,-,-,15,50,1,0,0.0,3.84615384615385
ruzomberok,ruzambirak,1,1,0,1,19,1,-,1,20,5,2,1,2.85714285714286,33.3333333333333
