Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,duraluka,0,-,0,
myto pod dumbierom,my tapa dumbirum,0,-,0,
brezno nad hronom,resnonadhornim,0,-,0,
handlova,hand lava,0,-,0,
varin,verin,1,1,1,
secovce,zickovs,0,-,0,
plavnica,plavnica,1,1,1,
dezerice,diserus,0,-,0,
bogdanovce,badanavs,0,-,0,
parnica,pernica,1,1,1,
zakopcie,zechovsei,0,-,0,
udavske,youdavskies,0,-,0,
lubenik,lubenic,0,-,0,
solosnica,solovsnika,0,-,0,
maly lipnik,malilipnik,0,-,0,
banka,bangka,1,1,1,
nemce,numvse,0,-,0,
svaty kriz nad hronom,svadisomeothershit,0,-,0,
snina,svnana,0,-,0,
batovce,badovs,0,-,0,
medzilaborce,metsalavores,0,-,0,
modry kamen,mod ri keymen,0,-,1,
boleraz,boloraz,1,1,1,
prasice,prosice,1,1,1,
dovalovo,dovalavo,1,1,1,
kozarovce,coseroce,0,-,0,
modranka,moldranka,0,-,0,
selce,cells,0,-,0,
piarg,piarg,1,1,1,
okruhle,okay rula,0,-,0,
priekopa,praicolpa,0,-,0,
svaty ondrej nad hronom,svadia ,1,2,2,
lom nad hronom,lumnadraloham,0,-,0,
pohorela,lrehela,0,-,0,
sered,ciered,0,-,0,
dolny kubin,donikubin,0,-,0,
havaj,phavage,0,-,0,
nadas,notis,1,1,1,
horne obdiekovce,hornadikavs,0,-,0,
gnazda,nasta,0,-,0,
sielnica,szihilnika,0,-,0,
mnisek nad popradom,nazicksomething,0,-,0,
horne byhymcine,horbehimsign,0,-,0,
busevce,bimzivs,0,-,0,
gocovo,gokivo,0,-,0,
malacky,melake,0,-,0,
rakova,rakiva,1,1,1,
ruzomberok,rusombirak,1,1,1,
