Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,Deraluka,0,-,0,
myto pod dumbierom,Mytipodiberum,0,-,0,
brezno nad hronom,resnonaturhorin,0,-,0,
handlova,handliva,1,1,1,
varin,veran,1,1,1,
secovce,sickhavs,0,-,0,
plavnica,plavlika,0,-,0,
dezerice,disaris,0,-,0,
bogdanovce,baghdinoffs,0,-,0,
parnica,pernika,0,-,0,
zakopcie,zacopvce,0,-,1,
udavske,udabskees,0,-,0,
bijacovce,vitokovs,0,-,0,
lubenik,lu benick,0,-,0,
solosnica,saliznivka,0,-,0,
maly lipnik,mayelipnik,0,-,0,
banka,bankha,1,1,1,
nemce,nemse,0,-,0,
svaty kriz nad hronom,svedekrapnivin,0,-,0,
snina,snahna,1,1,1,
batovce,badops,0,-,0,
medzilaborce,medzlaborse,0,-,0,
modry kamen,mad rockhamin,0,-,1,
boleraz,bowlerez,0,-,0,
prasice,precise,0,-,0,
dovalovo,dovalavo,1,1,1,
kozarovce,kozliovse,0,-,0,
modranka,modranka,1,1,1,
selce,celse,0,-,0,
piarg,paiyarg,0,-,0,
okruhle,okarula,1,1,1,
priekopa,prehicopa,0,-,0,
svaty ondrej nad hronom,svadirangeorgnaturin,0,-,0,
lom nad hronom,lam natur horonom,1,1,1,
pohorela,blahirila,0,-,0,
sered,zcirud,0,-,0,
dolny kubin,donikruben,0,-,0,
havaj,havach,0,-,0,
nadas,naduse,1,1,1,
horne obdiekovce,hornadikovce,0,-,0,
gnazda,nasta,0,-,0,
sielnica,saheilnika,0,-,0,
mnisek nad popradom,nazinagdiperdum,0,-,0,
horne byhymcine,horm bin en sin,1,1,2,
busevce,binsevs,0,-,0,
gocovo,kolkivo,0,-,0,
malacky,melakie,0,-,0,
hajniky,pagaeniky,0,-,0,
rakova,rackiva,0,-,0,
ruzomberok,ruzambirak,1,1,1,
