Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,draluca,0,-,0,
myto pod dumbierom,mytopodumbium,0,-,0,
brezno nad hronom,resnonadhoran,0,-,0,
handlova,handlava,1,1,1,
varin,varen,1,1,1,
secovce,sichas,0,-,0,
plavnica,plavnica,1,1,1,
dezerice,deseres,0,-,0,
bogdanovce,baglnav,0,-,0,
parnica,pernica,1,1,1,
zakopcie,zacaniv,0,-,0,
udavske,udapskis,0,-,0,
bijacovce,vagav,0,-,0,
lubenik,lubenic,0,-,0,
solosnica,selnicka,0,-,0,
maly lipnik,melipniv,0,-,0,
banka,banka,1,1,1,
nemce,numz,0,-,0,
svaty kriz nad hronom,sedagriznahavov,0,-,0,
snina,snidva,0,-,0,
batovce,badoffs,0,-,0,
medzilaborce,medlavoc,0,-,0,
modry kamen,modrycavin,0,-,0,
boleraz,bolderiz,0,-,0,
prasice,brasis,0,-,0,
dovalovo,dovlavo,1,1,1,
kozarovce,cozraf,0,-,0,
modranka,modranika,1,1,1,
selce,sells,0,-,0,
piarg,pirag,1,1,1,
okruhle,okrula,1,1,1,
priekopa,priecopa,0,-,0,
lom nad hronom,lom na hadronan,1,1,1,
pohorela,borahela,0,-,0,
sered,sirdge,0,-,0,
dolny kubin,do na cuban,0,-,0,
havaj,horalig,0,-,0,
nadas,na daas,0,-,0,
horne obdiekovce,por na dekavas,0,-,0,
gnazda,nasda,0,-,0,
sielnica,sie hiena,0,-,0,
mnisek nad popradom,nas nad dumas,0,-,0,
horne byhymcine,hornbiensin,0,-,0,
busevce,binafs,0,-,0,
gocovo,gokovo,0,-,0,
malacky,meloche,0,-,0,
rakova,racava,0,-,0,
ruzomberok,ruzumbarak,1,1,1,
