Orig Query,New Query,Ngrams Found,Ours Found,NGrams Match Rank,Ours Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
tura luka,duraluka,1,1,7,7,28,28,5.17241379310345,5.17241379310345
myto pod dumbierom,my tapa dumbirum,1,1,1,4,9,5,19.047619047619,25.0
handlova,hand lava,1,1,21,2,54,19,1.76991150442478,14.2857142857143
varin,verin,1,1,10,10,14,14,3.57142857142857,3.57142857142857
plavnica,plavnica,1,1,1,1,89,44,6.97674418604651,15.1898734177215
bogdanovce,badanavs,1,1,6,6,29,29,4.6875,4.6875
parnica,pernica,1,1,23,8,87,106,1.40845070422535,1.78571428571429
udavske,youdavskies,1,1,1,1,35,35,12.5,12.5
lubenik,lubenic,1,1,5,5,61,61,3.10077519379845,3.10077519379845
solosnica,solovsnika,1,1,1,1,91,91,4.41176470588235,4.41176470588235
maly lipnik,malilipnik,1,1,1,1,67,3,10.0671140939597,72.7272727272727
banka,bangka,1,1,7,7,11,11,5.88235294117647,5.88235294117647
svaty kriz nad hronom,svadisomeothershit,1,1,49,49,51,51,1.0,1.0
modry kamen,mod ri keymen,1,1,1,1,24,6,12.0,50.0
boleraz,boloraz,1,1,1,1,32,32,9.52380952380952,9.52380952380952
prasice,prosice,1,1,1,1,59,85,4.58015267175572,5.67375886524823
dovalovo,dovalavo,1,1,29,1,102,3,1.44927536231884,66.6666666666667
modranka,moldranka,1,1,3,2,34,16,5.12820512820513,14.8148148148148
piarg,piarg,1,1,1,1,5,5,60.0,60.0
svaty ondrej nad hronom,svadia ,1,1,30,30,46,46,1.23456790123457,1.23456790123457
lom nad hronom,lumnadraloham,1,1,12,1,81,2,1.875,100.0
pohorela,lrehela,1,1,12,12,14,14,3.84615384615385,3.84615384615385
sered,ciered,1,1,10,10,20,20,4.76190476190476,4.76190476190476
dolny kubin,donikubin,1,1,10,1,47,5,2.94117647058824,53.3333333333333
havaj,phavage,1,1,16,16,29,29,3.92156862745098,3.92156862745098
horne obdiekovce,hornadikavs,1,1,5,5,114,114,2.13523131672598,2.13523131672598
sielnica,szihilnika,1,1,32,32,36,41,1.28205128205128,2.0
horne byhymcine,horbehimsign,1,1,3,3,34,34,4.83870967741935,4.83870967741935
rakova,rakiva,1,1,14,4,17,52,3.33333333333333,4.81927710843374
ruzomberok,rusombirak,1,1,30,1,31,5,1.40845070422535,33.3333333333333
