Orig Query,New Query,Ngrams Found,Ours Found,NGrams Match Rank,Ours Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
tura luka,Deraluka,1,1,14,14,24,24,4.08163265306122,4.08163265306122
myto pod dumbierom,Mytipodiberum,1,1,12,4,28,5,4.44444444444444,25.0
handlova,handliva,1,1,3,2,26,19,5.88235294117647,14.2857142857143
plavnica,plavlika,1,1,1,2,29,19,8.82352941176471,15.7894736842105
parnica,pernika,1,1,41,25,43,81,1.04166666666667,1.52671755725191
udavske,udabskees,1,1,1,1,33,33,8.45070422535211,8.45070422535211
lubenik,lu benick,1,1,37,2,60,6,1.43884892086331,25.0
maly lipnik,mayelipnik,1,1,1,1,39,3,13.6363636363636,72.7272727272727
banka,bankha,1,1,9,9,19,19,5.71428571428571,5.71428571428571
nemce,nemse,1,1,2,2,10,10,14.2857142857143,14.2857142857143
medzilaborce,medzlaborse,1,1,1,1,32,32,14.5631067961165,14.5631067961165
boleraz,bowlerez,1,1,2,1,15,3,10.0,66.6666666666667
dovalovo,dovalavo,1,1,29,1,102,3,1.44927536231884,66.6666666666667
kozarovce,kozliovse,1,1,12,17,20,19,2.56410256410256,3.44827586206897
modranka,modranka,1,1,2,2,32,21,7.5,13.6363636363636
piarg,paiyarg,1,1,1,1,3,3,60.0,60.0
priekopa,prehicopa,1,1,5,1,14,16,11.1111111111111,16.0
svaty ondrej nad hronom,svadirangeorgnaturin,1,1,55,55,64,64,0.813008130081301,0.813008130081301
lom nad hronom,lam natur horonom,1,1,1,1,102,2,5.76923076923077,100.0
havaj,havach,1,1,22,22,43,43,2.5,2.5
nadas,naduse,1,1,4,1,58,57,2.58620689655172,4.65116279069767
horne obdiekovce,hornadikovce,1,1,1,1,259,31,1.75029171528588,8.0
sielnica,saheilnika,1,1,32,32,36,41,1.28205128205128,2.0
horne byhymcine,horm bin en sin,1,1,2,2,53,53,3.0,3.0
busevce,binsevs,1,1,9,9,12,12,4.76190476190476,4.76190476190476
hajniky,pagaeniky,1,1,1,1,34,34,7.59493670886076,7.59493670886076
ruzomberok,ruzambirak,1,1,19,1,20,5,2.85714285714286,33.3333333333333
