Orig Query,New Query,Ngrams Found,Ours Found,NGrams Match Rank,Ours Match Rank,Ngrams Rank,Ours Rank,Ngrams Probability,Ours Probability
myto pod dumbierom,mytopodumbium,1,1,1,4,28,5,9.67741935483871,25.0
handlova,handlava,1,1,14,2,53,25,2.72727272727273,11.1111111111111
varin,varen,1,1,15,15,19,19,2.5,2.5
plavnica,plavnica,1,1,1,1,89,44,6.97674418604651,15.1898734177215
parnica,pernica,1,1,23,8,87,106,1.40845070422535,1.78571428571429
udavske,udapskis,1,1,1,1,6,6,30.0,30.0
lubenik,lubenic,1,1,5,5,61,61,3.10077519379845,3.10077519379845
solosnica,selnicka,1,1,26,5,64,45,1.79640718562874,4.59770114942529
maly lipnik,melipniv,1,1,1,1,20,20,20.9302325581395,20.9302325581395
banka,banka,1,1,8,8,21,21,6.25,6.25
svaty kriz nad hronom,sedagriznahavov,1,1,49,49,53,53,0.925925925925926,0.925925925925926
snina,snidva,1,1,5,5,14,14,8.82352941176471,8.82352941176471
medzilaborce,medlavoc,1,1,11,11,45,45,3.33333333333333,3.33333333333333
modry kamen,modrycavin,1,1,1,1,19,6,20.0,50.0
boleraz,bolderiz,1,1,3,1,11,3,14.2857142857143,66.6666666666667
prasice,brasis,1,1,1,1,25,25,11.7647058823529,11.7647058823529
dovalovo,dovlavo,1,1,44,1,46,60,1.20481927710843,5.40540540540541
modranka,modranika,1,1,2,3,52,17,3.6036036036036,10.5263157894737
selce,sells,1,1,3,3,4,4,14.2857142857143,14.2857142857143
okruhle,okrula,1,1,7,7,13,13,9.09090909090909,9.09090909090909
priekopa,priecopa,1,1,1,2,19,18,16.6666666666667,21.0526315789474
lom nad hronom,lom na hadronan,1,1,1,1,93,93,6.81818181818182,6.81818181818182
pohorela,borahela,1,1,39,39,44,44,1.23456790123457,1.23456790123457
sielnica,sie hiena,1,1,27,27,34,34,1.66666666666667,1.66666666666667
mnisek nad popradom,nas nad dumas,1,1,36,36,66,66,0.857142857142857,0.857142857142857
horne byhymcine,hornbiensin,1,1,3,3,56,56,4.1958041958042,4.1958041958042
ruzomberok,ruzumbarak,1,1,26,1,27,5,1.92307692307692,33.3333333333333
