Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,duraluka,1,3,6,20.0
myto pod dumbierom,my tapa dumbirum,1,1,2,100.0
brezno nad hronom,resnonadhornim,0,-,23,0.0
handlova,hand lava,1,5,11,6.25
varin,verin,0,-,3,0.0
secovce,zickovs,0,-,5,0.0
plavnica,plavnica,1,2,36,12.6582278481013
dezerice,diserus,0,-,1,NaN
bogdanovce,badanavs,0,-,3,0.0
parnica,pernica,1,8,32,3.92156862745098
zakopcie,zechovsei,0,-,9,0.0
udavske,youdavskies,1,1,7,42.8571428571429
lubenik,lubenic,1,2,11,18.75
solosnica,solovsnika,1,1,3,66.6666666666667
maly lipnik,malilipnik,1,1,4,66.6666666666667
banka,bangka,0,-,1,NaN
nemce,numvse,0,-,1,NaN
svaty kriz nad hronom,svadisomeothershit,0,-,9,0.0
snina,svnana,0,-,1,NaN
batovce,badovs,0,-,1,NaN
medzilaborce,metsalavores,0,-,4,0.0
modry kamen,mod ri keymen,0,-,1,NaN
boleraz,boloraz,0,-,1,NaN
prasice,prosice,1,1,9,20.0
dovalovo,dovalavo,1,1,8,25.0
kozarovce,coseroce,0,-,1,NaN
modranka,moldranka,1,1,8,30.0
selce,cells,0,-,1,NaN
piarg,piarg,1,1,2,100.0
okruhle,okay rula,0,-,3,0.0
priekopa,praicolpa,0,-,1,NaN
svaty ondrej nad hronom,svadia ,0,-,1,NaN
lom nad hronom,lumnadraloham,0,-,4,0.0
pohorela,lrehela,0,-,1,NaN
sered,ciered,1,2,7,16.6666666666667
dolny kubin,donikubin,1,1,7,57.1428571428571
havaj,phavage,1,1,3,50.0
nadas,notis,0,-,2,0.0
horne obdiekovce,hornadikavs,1,9,23,6.25
gnazda,nasta,0,-,3,0.0
sielnica,szihilnika,0,-,3,0.0
mnisek nad popradom,nazicksomething,0,-,2,0.0
horne byhymcine,horbehimsign,0,-,1,NaN
busevce,bimzivs,0,-,1,NaN
gocovo,gokivo,0,-,1,NaN
malacky,melake,0,-,2,0.0
rakova,rakiva,0,-,1,NaN
ruzomberok,rusombirak,0,-,7,0.0
