Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,Deraluka,1,4,7,16.6666666666667
myto pod dumbierom,Mytipodiberum,0,-,1,NaN
brezno nad hronom,resnonaturhorin,0,-,1,NaN
handlova,handliva,1,2,3,50.0
varin,veran,0,-,1,NaN
secovce,sickhavs,0,-,3,0.0
plavnica,plavlika,1,1,6,25.0
dezerice,disaris,0,-,6,0.0
bogdanovce,baghdinoffs,0,-,1,NaN
parnica,pernika,0,-,7,0.0
zakopcie,zacopvce,0,-,1,NaN
udavske,udabskees,0,-,2,0.0
bijacovce,vitokovs,0,-,4,0.0
lubenik,lu benick,1,11,17,4.76190476190476
solosnica,saliznivka,0,-,9,0.0
maly lipnik,mayelipnik,1,1,3,75.0
banka,bankha,1,1,2,100.0
nemce,nemse,0,-,2,0.0
svaty kriz nad hronom,svedekrapnivin,0,-,3,0.0
snina,snahna,0,-,1,NaN
batovce,badops,0,-,1,NaN
medzilaborce,medzlaborse,1,1,12,48.3870967741936
modry kamen,mad rockhamin,0,-,1,NaN
boleraz,bowlerez,0,-,1,NaN
prasice,precise,0,-,1,NaN
dovalovo,dovalavo,1,1,8,25.0
kozarovce,kozliovse,0,-,2,0.0
modranka,modranka,1,3,10,20.0
selce,celse,0,-,1,NaN
piarg,paiyarg,0,-,1,NaN
okruhle,okarula,0,-,1,NaN
priekopa,prehicopa,0,-,1,NaN
svaty ondrej nad hronom,svadirangeorgnaturin,0,-,4,0.0
lom nad hronom,lam natur horonom,1,2,15,17.6470588235294
pohorela,blahirila,0,-,1,NaN
sered,zcirud,0,-,1,NaN
dolny kubin,donikruben,0,-,3,0.0
havaj,havach,1,1,4,33.3333333333333
nadas,naduse,0,-,1,NaN
horne obdiekovce,hornadikovce,1,1,136,3.0
gnazda,nasta,0,-,3,0.0
sielnica,saheilnika,0,-,3,0.0
mnisek nad popradom,nazinagdiperdum,0,-,7,0.0
horne byhymcine,horm bin en sin,0,-,1,NaN
busevce,binsevs,0,-,1,NaN
gocovo,kolkivo,0,-,1,NaN
malacky,melakie,0,-,2,0.0
hajniky,pagaeniky,1,1,6,28.5714285714286
rakova,rackiva,0,-,1,NaN
ruzomberok,ruzambirak,0,-,2,0.0
