Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,draluca,0,-,2,0.0
myto pod dumbierom,mytopodumbium,1,2,5,30.0
brezno nad hronom,resnonadhoran,0,-,5,0.0
handlova,handlava,1,3,10,12.5
varin,varen,0,-,3,0.0
secovce,sichas,0,-,3,0.0
plavnica,plavnica,1,2,36,12.6582278481013
dezerice,deseres,0,-,2,0.0
bogdanovce,baglnav,0,-,1,NaN
parnica,pernica,1,8,32,3.92156862745098
zakopcie,zacaniv,0,-,5,0.0
udavske,udapskis,0,-,1,NaN
bijacovce,vagav,0,-,2,0.0
lubenik,lubenic,1,2,11,18.75
solosnica,selnicka,0,-,15,0.0
maly lipnik,melipniv,1,1,3,66.6666666666667
banka,banka,1,1,7,25.0
nemce,numz,0,-,1,NaN
svaty kriz nad hronom,sedagriznahavov,0,-,5,0.0
snina,snidva,0,-,1,NaN
batovce,badoffs,0,-,1,NaN
medzilaborce,medlavoc,0,-,3,0.0
modry kamen,modrycavin,1,1,4,66.6666666666667
boleraz,bolderiz,0,-,2,0.0
prasice,brasis,1,1,3,66.6666666666667
dovalovo,dovlavo,0,-,2,0.0
kozarovce,cozraf,0,-,1,NaN
modranka,modranika,1,3,5,17.6470588235294
selce,sells,0,-,1,NaN
piarg,pirag,0,-,1,NaN
okruhle,okrula,1,1,2,100.0
priekopa,priecopa,1,2,6,18.1818181818182
lom nad hronom,lom na hadronan,1,1,3,75.0
pohorela,borahela,0,-,2,0.0
sered,sirdge,0,-,1,NaN
dolny kubin,do na cuban,0,-,6,0.0
havaj,horalig,0,-,3,0.0
nadas,na daas,0,-,1,NaN
horne obdiekovce,por na dekavas,0,-,1,NaN
gnazda,nasda,0,-,1,NaN
sielnica,sie hiena,0,-,1,NaN
mnisek nad popradom,nas nad dumas,1,52,53,1.19760479041916
horne byhymcine,hornbiensin,1,2,22,8.33333333333333
busevce,binafs,0,-,3,0.0
gocovo,gokovo,0,-,4,0.0
malacky,meloche,0,-,3,0.0
rakova,racava,0,-,2,0.0
ruzomberok,ruzumbarak,0,-,3,0.0
