Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,duraluka,1,7,28,5.17241379310345
myto pod dumbierom,my tapa dumbirum,1,1,9,19.047619047619
brezno nad hronom,resnonadhornim,0,-,106,0.366300366300366
handlova,hand lava,1,21,54,1.76991150442478
varin,verin,1,10,14,3.57142857142857
secovce,zickovs,0,-,93,0.0
plavnica,plavnica,1,1,89,6.97674418604651
dezerice,diserus,0,-,25,0.0
bogdanovce,badanavs,1,6,29,4.6875
parnica,pernica,1,23,87,1.40845070422535
zakopcie,zechovsei,0,-,34,0.0
udavske,youdavskies,1,1,35,12.5
lubenik,lubenic,1,5,61,3.10077519379845
solosnica,solovsnika,1,1,91,4.41176470588235
maly lipnik,malilipnik,1,1,67,10.0671140939597
banka,bangka,1,7,11,5.88235294117647
nemce,numvse,0,-,1,NaN
svaty kriz nad hronom,svadisomeothershit,1,49,51,1.0
snina,svnana,0,-,16,0.0
batovce,badovs,0,-,32,0.0
medzilaborce,metsalavores,0,-,53,0.0
modry kamen,mod ri keymen,1,1,24,12.0
boleraz,boloraz,1,1,32,9.52380952380952
prasice,prosice,1,1,59,4.58015267175572
dovalovo,dovalavo,1,29,102,1.44927536231884
kozarovce,coseroce,0,-,11,0.0
modranka,moldranka,1,3,34,5.12820512820513
selce,cells,0,-,2,0.0
piarg,piarg,1,1,5,60.0
okruhle,okay rula,0,-,16,0.0
priekopa,praicolpa,0,-,14,0.0
svaty ondrej nad hronom,svadia ,1,30,46,1.23456790123457
lom nad hronom,lumnadraloham,1,12,81,1.875
pohorela,lrehela,1,12,14,3.84615384615385
sered,ciered,1,10,20,4.76190476190476
dolny kubin,donikubin,1,10,47,2.94117647058824
havaj,phavage,1,16,29,3.92156862745098
nadas,notis,0,-,9,0.0
horne obdiekovce,hornadikavs,1,5,114,2.13523131672598
gnazda,nasta,0,-,36,0.0
sielnica,szihilnika,1,32,36,1.28205128205128
mnisek nad popradom,nazicksomething,0,-,20,0.0
horne byhymcine,horbehimsign,1,3,34,4.83870967741935
busevce,bimzivs,0,-,1,NaN
gocovo,gokivo,0,-,3,0.0
malacky,melake,0,-,15,0.0
rakova,rakiva,1,14,17,3.33333333333333
ruzomberok,rusombirak,1,30,31,1.40845070422535
