Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,Deraluka,1,14,24,4.08163265306122
myto pod dumbierom,Mytipodiberum,1,12,28,4.44444444444444
brezno nad hronom,resnonaturhorin,0,-,68,0.0
handlova,handliva,1,3,26,5.88235294117647
varin,veran,0,-,21,0.0
secovce,sickhavs,0,-,24,0.0
plavnica,plavlika,1,1,29,8.82352941176471
dezerice,disaris,0,-,28,0.0
bogdanovce,baghdinoffs,0,-,7,0.0
parnica,pernika,1,41,43,1.04166666666667
zakopcie,zacopvce,0,-,123,0.0
udavske,udabskees,1,1,33,8.45070422535211
bijacovce,vitokovs,0,-,92,0.0
lubenik,lu benick,1,37,60,1.43884892086331
solosnica,saliznivka,0,-,43,0.0
maly lipnik,mayelipnik,1,1,39,13.6363636363636
banka,bankha,1,9,19,5.71428571428571
nemce,nemse,1,2,10,14.2857142857143
svaty kriz nad hronom,svedekrapnivin,0,-,34,0.0
snina,snahna,0,-,10,0.0
batovce,badops,0,-,13,0.0
medzilaborce,medzlaborse,1,1,32,14.5631067961165
modry kamen,mad rockhamin,0,-,65,0.0
boleraz,bowlerez,1,2,15,10.0
prasice,precise,0,-,14,0.0
dovalovo,dovalavo,1,29,102,1.44927536231884
kozarovce,kozliovse,1,12,20,2.56410256410256
modranka,modranka,1,2,32,7.5
selce,celse,0,-,2,0.0
piarg,paiyarg,1,1,3,60.0
okruhle,okarula,0,-,13,0.0
priekopa,prehicopa,1,5,14,11.1111111111111
svaty ondrej nad hronom,svadirangeorgnaturin,1,55,64,0.813008130081301
lom nad hronom,lam natur horonom,1,1,102,5.76923076923077
pohorela,blahirila,0,-,8,0.0
sered,zcirud,0,-,7,0.0
dolny kubin,donikruben,0,-,43,0.0
havaj,havach,1,22,43,2.5
nadas,naduse,1,4,58,2.58620689655172
horne obdiekovce,hornadikovce,1,1,259,1.75029171528588
gnazda,nasta,0,-,36,0.0
sielnica,saheilnika,1,32,36,1.28205128205128
mnisek nad popradom,nazinagdiperdum,0,-,39,0.0
horne byhymcine,horm bin en sin,1,2,53,3.0
busevce,binsevs,1,9,12,4.76190476190476
gocovo,kolkivo,0,-,11,0.0
malacky,melakie,0,-,15,0.0
hajniky,pagaeniky,1,1,34,7.59493670886076
rakova,rackiva,0,-,15,0.0
ruzomberok,ruzambirak,1,19,20,2.85714285714286
