Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,draluca,0,-,24,0.0
myto pod dumbierom,mytopodumbium,1,1,28,9.67741935483871
brezno nad hronom,resnonadhoran,0,-,120,0.387596899224806
handlova,handlava,1,14,53,2.72727272727273
varin,varen,1,15,19,2.5
secovce,sichas,0,-,19,0.0
plavnica,plavnica,1,1,89,6.97674418604651
dezerice,deseres,0,-,15,0.0
bogdanovce,baglnav,0,-,14,0.0
parnica,pernica,1,23,87,1.40845070422535
zakopcie,zacaniv,0,-,26,0.0
udavske,udapskis,1,1,6,30.0
bijacovce,vagav,0,-,2,0.0
lubenik,lubenic,1,5,61,3.10077519379845
solosnica,selnicka,1,26,64,1.79640718562874
maly lipnik,melipniv,1,1,20,20.9302325581395
banka,banka,1,8,21,6.25
nemce,numz,0,-,1,NaN
svaty kriz nad hronom,sedagriznahavov,1,49,53,0.925925925925926
snina,snidva,1,5,14,8.82352941176471
batovce,badoffs,0,-,13,0.0
medzilaborce,medlavoc,1,11,45,3.33333333333333
modry kamen,modrycavin,1,1,19,20.0
boleraz,bolderiz,1,3,11,14.2857142857143
prasice,brasis,1,1,25,11.7647058823529
dovalovo,dovlavo,1,44,46,1.20481927710843
kozarovce,cozraf,0,-,1,NaN
modranka,modranika,1,2,52,3.6036036036036
selce,sells,1,3,4,14.2857142857143
piarg,pirag,0,-,2,0.0
okruhle,okrula,1,7,13,9.09090909090909
priekopa,priecopa,1,1,19,16.6666666666667
lom nad hronom,lom na hadronan,1,1,93,6.81818181818182
pohorela,borahela,1,39,44,1.23456790123457
sered,sirdge,0,-,3,0.0
dolny kubin,do na cuban,0,-,86,0.0
havaj,horalig,0,-,61,0.0
nadas,na daas,0,-,25,0.0
horne obdiekovce,por na dekavas,0,-,104,0.0
gnazda,nasda,0,-,2,0.0
sielnica,sie hiena,1,27,34,1.66666666666667
mnisek nad popradom,nas nad dumas,1,36,66,0.857142857142857
horne byhymcine,hornbiensin,1,3,56,4.1958041958042
busevce,binafs,0,-,33,0.0
gocovo,gokovo,0,-,78,0.625
malacky,meloche,0,-,13,0.0
rakova,racava,0,-,38,0.0
ruzomberok,ruzumbarak,1,26,27,1.92307692307692
