Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,duraluka,1,7,28,5.17241379310345
myto pod dumbierom,my tapa dumbirum,1,4,5,25.0
brezno nad hronom,resnonadhornim,0,-,106,0.366300366300366
handlova,hand lava,1,2,19,14.2857142857143
varin,verin,1,10,14,3.57142857142857
secovce,zickovs,0,-,44,0.0
plavnica,plavnica,1,1,44,15.1898734177215
dezerice,diserus,1,43,60,1.35135135135135
bogdanovce,badanavs,1,6,29,4.6875
parnica,pernica,1,8,106,1.78571428571429
zakopcie,zechovsei,0,-,34,0.0
udavske,youdavskies,1,1,35,12.5
lubenik,lubenic,1,5,61,3.10077519379845
solosnica,solovsnika,1,1,91,4.41176470588235
maly lipnik,malilipnik,1,1,3,72.7272727272727
banka,bangka,1,7,11,5.88235294117647
nemce,numvse,1,1,57,4.8780487804878
svaty kriz nad hronom,svadisomeothershit,1,49,51,1.0
snina,svnana,1,6,140,1.69491525423729
batovce,badovs,0,-,85,0.87719298245614
medzilaborce,metsalavores,0,-,3,0.0
modry kamen,mod ri keymen,1,1,6,50.0
boleraz,boloraz,1,1,32,9.52380952380952
prasice,prosice,1,1,85,5.67375886524823
dovalovo,dovalavo,1,1,3,66.6666666666667
kozarovce,coseroce,0,-,10,0.0
modranka,moldranka,1,2,16,14.8148148148148
selce,cells,0,-,1116,0.0714796283059328
piarg,piarg,1,1,5,60.0
okruhle,okay rula,0,-,7,0.0
priekopa,praicolpa,1,2,16,15.0
svaty ondrej nad hronom,svadia ,1,30,46,1.23456790123457
lom nad hronom,lumnadraloham,1,1,2,100.0
pohorela,lrehela,1,12,14,3.84615384615385
sered,ciered,1,10,20,4.76190476190476
dolny kubin,donikubin,1,1,5,53.3333333333333
havaj,phavage,1,16,29,3.92156862745098
nadas,notis,1,6,1116,0.282885431400283
horne obdiekovce,hornadikavs,1,5,114,2.13523131672598
gnazda,nasta,0,-,1116,0.0698812019566736
sielnica,szihilnika,1,32,41,2.0
mnisek nad popradom,nazicksomething,0,-,2,0.0
horne byhymcine,horbehimsign,1,3,34,4.83870967741935
busevce,bimzivs,0,-,85,0.87719298245614
gocovo,gokivo,1,2,22,10.7142857142857
malacky,melake,1,33,78,1.52671755725191
rakova,rakiva,1,4,52,4.81927710843374
ruzomberok,rusombirak,1,1,5,33.3333333333333
