Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,Deraluka,1,14,24,4.08163265306122
myto pod dumbierom,Mytipodiberum,1,4,5,25.0
brezno nad hronom,resnonaturhorin,0,-,2,0.0
handlova,handliva,1,2,19,14.2857142857143
varin,veran,0,-,1116,0.138121546961326
secovce,sickhavs,0,-,4,0.0
plavnica,plavlika,1,2,19,15.7894736842105
dezerice,disaris,1,45,62,1.2987012987013
bogdanovce,baghdinoffs,0,-,4,0.0
parnica,pernika,1,25,81,1.52671755725191
zakopcie,zacopvce,1,12,16,5.71428571428571
udavske,udabskees,1,1,33,8.45070422535211
bijacovce,vitokovs,0,-,4,0.0
lubenik,lu benick,1,2,6,25.0
solosnica,saliznivka,1,5,41,4.0
maly lipnik,mayelipnik,1,1,3,72.7272727272727
banka,bankha,1,9,19,5.71428571428571
nemce,nemse,1,2,10,14.2857142857143
svaty kriz nad hronom,svedekrapnivin,0,-,5,0.0
snina,snahna,1,1,136,2.6431718061674
batovce,badops,0,-,85,0.87719298245614
medzilaborce,medzlaborse,1,1,32,14.5631067961165
modry kamen,mad rockhamin,1,1,6,30.0
boleraz,bowlerez,1,1,3,66.6666666666667
prasice,precise,1,4,81,2.85714285714286
dovalovo,dovalavo,1,1,3,66.6666666666667
kozarovce,kozliovse,1,17,19,3.44827586206897
modranka,modranka,1,2,21,13.6363636363636
selce,celse,0,-,1116,0.07097232079489
piarg,paiyarg,1,1,3,60.0
okruhle,okarula,1,16,20,3.7037037037037
priekopa,prehicopa,1,1,16,16.0
svaty ondrej nad hronom,svadirangeorgnaturin,1,55,64,0.813008130081301
lom nad hronom,lam natur horonom,1,1,2,100.0
pohorela,blahirila,0,-,18,0.0
sered,zcirud,0,-,44,0.0
dolny kubin,donikruben,1,1,4,40.0
havaj,havach,1,22,43,2.5
nadas,naduse,1,1,57,4.65116279069767
horne obdiekovce,hornadikovce,1,1,31,8.0
gnazda,nasta,0,-,1116,0.0698812019566736
sielnica,saheilnika,1,32,41,2.0
mnisek nad popradom,nazinagdiperdum,0,-,3,0.0
horne byhymcine,horm bin en sin,1,2,53,3.0
busevce,binsevs,1,9,12,4.76190476190476
gocovo,kolkivo,0,-,95,0.0
malacky,melakie,1,14,77,1.52671755725191
hajniky,pagaeniky,1,1,34,7.59493670886076
rakova,rackiva,1,3,50,3.84615384615385
ruzomberok,ruzambirak,1,1,5,33.3333333333333
