Orig Query,New Query,Found,Match Rank,Rank,Probability
tura luka,draluca,0,-,60,0.0
myto pod dumbierom,mytopodumbium,1,4,5,25.0
brezno nad hronom,resnonadhoran,0,-,120,0.387596899224806
handlova,handlava,1,2,25,11.1111111111111
varin,varen,1,15,19,2.5
secovce,sichas,1,23,137,1.08695652173913
plavnica,plavnica,1,1,44,15.1898734177215
dezerice,deseres,1,43,60,1.31578947368421
bogdanovce,baglnav,1,8,85,1.63934426229508
parnica,pernica,1,8,106,1.78571428571429
zakopcie,zacaniv,1,33,44,1.78571428571429
udavske,udapskis,1,1,6,30.0
bijacovce,vagav,0,-,1116,0.0710227272727273
lubenik,lubenic,1,5,61,3.10077519379845
solosnica,selnicka,1,5,45,4.59770114942529
maly lipnik,melipniv,1,1,20,20.9302325581395
banka,banka,1,8,21,6.25
nemce,numz,0,-,10,0.0
svaty kriz nad hronom,sedagriznahavov,1,49,53,0.925925925925926
snina,snidva,1,5,14,8.82352941176471
batovce,badoffs,0,-,85,0.87719298245614
medzilaborce,medlavoc,1,11,45,3.33333333333333
modry kamen,modrycavin,1,1,6,50.0
boleraz,bolderiz,1,1,3,66.6666666666667
prasice,brasis,1,1,25,11.7647058823529
dovalovo,dovlavo,1,1,60,5.40540540540541
kozarovce,cozraf,0,-,40,0.0
modranka,modranika,1,3,17,10.5263157894737
selce,sells,1,3,4,14.2857142857143
piarg,pirag,1,1,1116,0.428265524625268
okruhle,okrula,1,7,13,9.09090909090909
priekopa,priecopa,1,2,18,21.0526315789474
lom nad hronom,lom na hadronan,1,1,93,6.81818181818182
pohorela,borahela,1,39,44,1.23456790123457
sered,sirdge,0,-,135,0.465116279069767
dolny kubin,do na cuban,1,1,4,40.0
havaj,horalig,0,-,86,0.8
nadas,na daas,1,1,57,7.5
horne obdiekovce,por na dekavas,0,-,5,0.0
gnazda,nasda,0,-,1116,0.0706214689265537
sielnica,sie hiena,1,27,34,1.66666666666667
mnisek nad popradom,nas nad dumas,1,36,66,0.857142857142857
horne byhymcine,hornbiensin,1,3,56,4.1958041958042
busevce,binafs,0,-,85,0.87719298245614
gocovo,gokovo,1,1,31,9.75609756097561
malacky,meloche,1,12,77,1.53846153846154
rakova,racava,1,4,69,2.9126213592233
ruzomberok,ruzumbarak,1,1,5,33.3333333333333
